_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
40,Strategic Program for Climate Resilience(SPCR) Pilot Program for Climate Change(PPCR),2013-04-30T00:00:00,World Bank Trust Funds|Asian Development Bank|Climate Investment Fund,General environmental protection,Implementation,2013,2013,32020329,-
41,TA:Increasing Access to Energy in Rural Nepal,2010-03-05T00:00:00,Asian Development Bank,Energy generation and supply,Completion,2010,2010,952889,-
42,TA:Preparing the Integrated Urban Development Project,2010-12-13T00:00:00,Asian Development Bank,Unspecified,Unspecified,2010,2010,817054,-
43,Research and Development technical Assistance for effective Deployment of Distributed Wind Systems,2010-06-17T00:00:00,Asian Development Bank,Energy generation and supply,Completion,2009,2010,4005313,-
44,TA:Strengthened the TDF Capacity for PPP,2011-05-29T00:00:00,Asian Development Bank,Other,Implementation,2011,2012,310000,256171
45,Town Development Fund Project (phase II),2000-12-15T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau,Other,Completion,2000,2013,8240267,5741469
46,Kathmandu Valley Water Supply Improvement Project,2012-01-01T00:00:00,Asian Development Bank,Water supply and sanitation,Implementation,2012,2013,78547497,9921863
47,Road Improvement Project,2007-09-14T00:00:00,India,Transport and storage,Implementation,2007,2013,53357010,41050561
48,Strengthening Decentralized Support for Vulnerable and Conflict-Affected Families and Children (JFPR Project No. 9110-NEP),2008-02-10T00:00:00,Japan Fund for Poverty Reduction,Other social infrastructure and services,Completion,2008,2010,2087971,274806
49,Nepal Peace Trust Fund (NPTF),2007-02-27T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau|Swiss Agency for Development and Cooperation|Department for International Development|Denmark|Finland|Norway|Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit|European Union,"Conflict prevention and resolution, peace and security",Implementation,2007,2013,173079570,71045982
50,Community Support Programme,2011-06-16T00:00:00,Department for International Development,Other,Implementation,2011,2013,37350885,-
51,Community Irrigation Project,,Asian Development Bank,Other,Implementation,2011,2013,26400000,2191494
52,Japan Fund for Poverty Reduction(JFPR) Capacity Building for the Promotion of Legal Identity among the Poor in Nepal,,Japan Fund for Poverty Reduction,Other,Implementation,2010,2010,2042635,-
53,Manmohan Memorial Polytechnic,2003-06-30T00:00:00,India,"Education, level unspecified",Implementation,2003,2005,5201128,-
54,Enhancing Awareness and Garnering Support for Elimination of Doping in Sports in Nepal,2010-11-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Implementation,2010,2010,20426,-
55,Khimti Neighbourhood Development Project - KIND,2007-07-05T00:00:00,United Nations Development Programme|Norway,Energy generation and supply,Completion,2006,2012,4314918,3928221
56,Middle Marsyangdi Hydrolectric Project,1999-02-23T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau,Energy generation and supply,Completion,1999,2013,76325386,210803929
57,Chameliya Hydro Electric Project,2009-05-07T00:00:00,Economic Development Cooperation Fund Korea,Energy generation and supply,Implementation,2008,2013,46979361,47918619
58,Rehabilitation of Devighat hydro Power plant,2008-04-03T00:00:00,India,Energy generation and supply,Completion,2007,2012,4268560,1771464
59,Panchthar Substation & Rural Electrification Project,,India,Energy generation and supply,Implementation,2007,2007,320142,-
60,Vertical Shaft Brick Kiln project/Clean Building Technology For Nepal Phase IV,2008-07-03T00:00:00,Ministry of Industry,General environmental protection|Industry,Completion,2007,2008,3164089,-
61,Tax Governance Support Project (TGSP),,Denmark,"Government and civil society, general",Pipeline/identification,-,-,-,-
62,Rural Finance Sector Development Cluster Program (Sub Program 2),2011-03-23T00:00:00,Ministry of Finance|Asian Development Bank,Banking and financial services,Implementation,2010,2013,75952491,35330856
63,"EC-Nepal, WTO Assistance Programme",2007-03-20T00:00:00,European Union,Business and other services,Implementation,2007,2010,3039348,1225270
64,Capital Markets and Infrastructure Finance Support Project,,Asian Development Bank,Banking and financial services,Implementation,2011,2012,5000000,497622
65,Federalism Support Programme Phase II,,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,"Conflict prevention and resolution, peace and security",Completion,2008,2011,1565836,1320878
66,Electricity Transmission Expansion and Supply Improvement Project (ETESIP),2012-03-23T00:00:00,Norway|Asian Development Bank,Energy generation and supply,Implementation,2011,2013,99088710,5174770
67,Mountain Agribusiness and Livelihood Improvement (HIMALI) Project,,Asian Development Bank,Agriculture,Implementation,2011,2013,20000000,3625018
68,Budhi Ganga Hydropower Project,2013-03-22T00:00:00,Kuwait fund for Arab Economic development,Energy generation and supply,Implementation,2013,2013,18592449,-
69,Public-Private Partnerships for Urban Environment (PPPUE),,UNOPS|United Nations Development Programme|Asian Development Bank,Other,Completion,2005,2013,3444987,3115987
70,GEF Small Grants Programme - SGP,1998-01-01T00:00:00,Global Environment Facility,General environmental protection,Implementation,1998,2012,5388739,5267736
71,Disaster Risk Reduction at the National Level in Nepal - DRRNLN,2007-11-15T00:00:00,United Nations Development Programme|European Union,Unallocated/ unspecified|Other,Completion,2007,2012,3311683,1614248
72,Enhancing Access to Financial Services - EAFS,2008-11-01T00:00:00,United Nations Capital Development Fund|United Nations Development Programme,"Banking and financial services|Government and civil society, general",Implementation,2008,2012,3131957,2185352
73,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),2009-07-19T00:00:00,Swiss Agency for Development and Cooperation|Department for International Development|Denmark|Finland|United Nations Development Programme|United Nation Office of High Commissioner for Human Rights,"Government and civil society, general",Implementation,2009,2012,1482360,1659566
74,Livelihood Recovery for Peace (LRP) Project,2009-08-11T00:00:00,United Nations Development Programme,"Government and civil society, general",Implementation,2009,2013,11130537,9063803
75,Support to National HIV/AIDS Programme - SNHP,2006-10-02T00:00:00,"Department for International Development|Global Fund to Fight AIDS, Tuberculosis and Malaria|United Nations Development Programme|AusAid",Health,Completion,2006,2012,33369490,30752756
76,Strengthening Regional Cooperation for Wildlife Protection in Asia Project,2011-06-27T00:00:00,World Bank Trust Funds,Forestry,Implementation,2011,2013,3000000,795343
77,Load Dispatch Center Extension,1997-12-04T00:00:00,Kreditanstalt fÃ¼r Wiederaufbau,Energy generation and supply,Completion,1997,2013,-,25537729
78,Poverty Alleviation Fund II,2004-12-13T00:00:00,International Development Association|International Fund for Agricultural Development|World Bank Trust Funds,General budget support,Implementation,2004,2013,337814279,145657022
79,"Human Rights and Good Governance Program, Phase III (2009-13)",2008-10-29T00:00:00,Denmark,Other social infrastructure and services,Implementation,2008,2012,18005625,11346507
80,Financial Sector Technical Assistance Project,2003-04-30T00:00:00,Department for International Development|International Development Association,Banking and financial services,Completion,2003,2011,28213508,21806153
81,The Food AID Project (KR 2008),2009-02-25T00:00:00,Japan International Cooperation Agency,Industry,Completion,2009,2010,6941413,7396923
82,The Food AID Project (KR 2009),2010-02-09T00:00:00,Japan International Cooperation Agency,Industry,Completion,2010,2011,7734238,8290564
83,Assistance for Feasibility Studies of Small and Medium Size Hydro Power Projects,2004-01-16T00:00:00,Norway,Energy generation and supply,Implementation,2004,2013,1719455,1448635
84,Nepal Enhanced Capacities for Trade and Development Project (NECTRADE),2010-03-30T00:00:00,UNOPS,Business and other services,Implementation,2010,2010,993946,-
85,Small Development Projects (India),2003-11-07T00:00:00,India,Other,Implementation,2003,2013,141369844,29254793
86,Nepal-India Cross border Transmission Projects.,,India,Energy generation and supply,Implementation,2007,2007,14086250,-
87,Legal and Judicial Reforms to Strengthen Creditor Rights Project.,2007-08-22T00:00:00,International Development Association,Other social infrastructure and services,Completion,2007,2007,432191,-
88,Direct Aid Program,2009-12-03T00:00:00,AusAid,Other social infrastructure and services,Implementation,2009,2013,444578,434669
89,Nepal Water for Health Program,2010-05-26T00:00:00,AusAid,Water supply and sanitation,Implementation,2009,2013,5311760,7223029
90,"PCR5, IR 2 - National Governance",2008-01-01T00:00:00,United Nations Children's Fund,"Government and civil society, general",Implementation,2008,2012,1341129,591677
91,Australian Youth Ambassadors for Development (AYAD) and Volunteering for International Development from Australia (VIDA),1999-08-01T00:00:00,AusAid,"Other social infrastructure and services|Other|Education, level unspecified|Other social infrastructure and services|Health",Implementation,1999,2013,3439510,2920470
92,Reintegration of Children/Youth formerly associated with Armed Forces and Armed Groups and Children Affected by Armed Conflict in Nepal â Phase IV,2011-03-22T00:00:00,AusAid,Other social infrastructure and services,Implementation,2011,2013,1240303,1181011
93,Towards the Centre of Excellence â Tilganga Institute of Ophthalmology (TIO),2011-04-11T00:00:00,AusAid,Health,Implementation,2011,2011,3011089,3026602
94,Australian Scholarships,,AusAid,"Education, level unspecified|Health",Implementation,2011,2013,10820827,5885175
95,Modernization of Customs Administration,2011-07-21T00:00:00,Korea International Cooperation Agency,Banking and financial services,Implementation,2010,2013,5000000,3254012
96,Nepal Public Financial Management (Multi Donor Trust Fund),2011-10-31T00:00:00,World Bank Trust Funds,Banking and financial services,Implementation,2011,2012,4300000,583008
97,Implementation of Stop TB Strategy (2010-2015),2010-07-16T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria|Norway",Health,Implementation,2010,2013,29008663,19575444
98,Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA,2009-01-01T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria|United Nations Development Programme",Health,Completion,2008,2012,12363839,11873457
99,Economic and technical cooperation (small projects),2010-02-28T00:00:00,China,"Government and civil society, general",Implementation,2010,2012,95178549,15375422
100,Institutional Strengthening and Professional Development Support for the Election commission of Nepal,2008-08-01T00:00:00,European Union|Department for International Development|Denmark|United Nations Development Programme|Japan International Cooperation Agency|Norway|AusAid,"Government and civil society, general",Implementation,2008,2013,51546166,14353181
101,Support to the Local Governance and Community Development Programme (UN joint project),2009-04-01T00:00:00,Department for International Development|Denmark|United Nations Development Programme|United Nations Development Fund for Women|United Nations Capital Development Fund|United Nations Children's Fund,Other,Implementation,2009,2013,4755217,1316432
102,Strengthening the role of civil society in promoting human rights and democratic reform (CTR 158067),2009-01-01T00:00:00,European Union,Other social infrastructure and services,Completion,2008,2011,291738,169329
103,Realisation of the rights and the sustainable reintegration of children and youth formerly associated with armed forces and armed groups (CAAFAG) in Nepal (CTR 234074),2010-12-20T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2013,403045,344810
104,Action for Social Inclusion of Children Affected by Armed Conflict in Nepal (ASIC) - CTR 204215,2010-01-01T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2009,2013,593103,329841
105,Rehabilitating Children and Supporting Families and Communities Affected by Armed Conflict in Nepal (CTR 154908),2009-06-01T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2009,2012,846711,568078
106,Capacity Building Programme for Protecting Human Rights and Fundamental Freedoms in Nepal (CTR 159300),2009-01-01T00:00:00,European Union,Other social infrastructure and services,Completion,2008,2012,1021083,662450
107,Janajatis Social and Economic Empowerment Project (JANSEEP) - Nepal (CTR 119627),2007-02-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2007,2013,1115235,815455
108,Empowering Women in the Churia to Improve Their Livelihoods,2008-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2008,2012,1227622,408933
109,Promoting Rights of Human rights defenders in Nepal (CTR 234037),2010-12-15T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2013,272641,264938
110,WIDOWS - Influencing policy at national and international level through advocacy for the rights of single women,2009-04-24T00:00:00,European Union,Other social infrastructure and services,Completion,2009,2012,282236,138166
111,Prevention of torture in Nepal (CTR 148079),2008-12-01T00:00:00,European Union,Other social infrastructure and services,Suspended,2008,2011,793403,467880
112,Enabling the effective participation of persons with disabilities and their organisations in the peace-building process in Nepal,2010-01-01T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2009,2012,741378,619132
113,Community peacebuilding programme through women group empowerment,2010-01-01T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2009,2012,741378,655303
114,Women and youth as pillars of sustainable peace,2008-01-01T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2008,2012,1227622,746858
115,Sahaastitwa - Strengthening local cultures to build harmony in Nepal,2010-04-10T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2012,1240299,1027772
116,Enhancing cultural diversity for dignity and development of indigenous communities in Nepal,2010-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2012,1230668,703562
117,Shubha Yatra: promotion and protection of human rights,2011-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2012,820444,450527
118,Renewable energy project,2004-08-17T00:00:00,European Union,Energy generation and supply,Implementation,2004,2011,21426603,2684091
119,Community based land and forest management in the Sagarmatha National Park,2009-07-20T00:00:00,European Union,General environmental protection,Implementation,2009,2012,734955,209034
120,State and non-state partnerships for inclusive justice (CTR - 250699),2011-04-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2011,2013,707914,451881
121,Improving food security condition of socio-economically excluded Dalit communities in Far Western Nepal,2009-09-12T00:00:00,European Union,Agriculture,Implementation,2009,2012,1628441,1085134
122,Improving food security in communities vulnerable to food price volatility,2009-07-12T00:00:00,European Union,Agriculture,Implementation,2008,2012,2060305,1517281
123,Food Security Initiative in Nepal,2009-01-12T00:00:00,European Union,Agriculture,Implementation,2008,2012,2038477,1954813
124,HELP Food Security (Helping to Enhance Local Productivity for Food Security),2009-07-12T00:00:00,Practical Action|European Union,Agriculture,Implementation,2008,2012,2776825,1528938
125,Freed Kamaiyas Livelihood Development Project,2008-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2008,2012,1227622,924384
126,Access for Opportunities (improved socio-economic opportunities for marginalized communities)CTR - 118644,2007-01-02T00:00:00,European Union,Other social infrastructure and services,Completion,2007,2013,1126269,1041179
127,UNESCAP Technical Assistance to EC-Nepal WTO Assistance Programme,2008-05-01T00:00:00,European Union,Business and other services,Implementation,2008,2011,493610,295641
128,UNIDO Technical Assistance to EC-Nepal WTO Assistance Programme,2008-01-01T00:00:00,European Union,Business and other services,Implementation,2008,2012,2455245,1398099
129,PRISM - Poverty Reduction of Informal workers in Solid waste Management sector (CTR - 236672),2011-05-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2011,2013,1925355,839772
130,Skill development and employment for the informal sector in Nepal,2011-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2012,2051113,1164572
131,Establishment and operation of a safe birthing/new born care (SBNBCC) centre and providing outreach mother and child health services in Goljung Village of Rasuwa District (CTR 161797),2009-01-01T00:00:00,European Union,Health,Implementation,2008,2012,291738,162157
132,Equal access of Dalit women to health services (CTR 161787),2009-01-01T00:00:00,European Union,Health,Implementation,2008,2012,583476,453238
133,"Sustainable Water Supply, Hygiene, and Health Improvements for Highly Vulnerable Communities in Humla District, Mid-Western Nepal(CTR 161789)",2009-01-15T00:00:00,European Union,Health,Implementation,2008,2013,689281,508393
134,"SWASHTHA - Strengthening Water, Air, Sanitation and Hygiene Treasuring Health",2008-12-27T00:00:00,European Union,Health,Implementation,2008,2012,733135,445963
135,Improving maternal and child health in Nepal (CTR 161832),2009-02-01T00:00:00,European Union,Health,Completion,2009,2013,663183,525602
136,Support to Health Workforce through Civil Society Engagement (CTR 229739),2011-02-01T00:00:00,European Union,Health,Implementation,2011,2013,1097544,954160
137,Tackling Human Resources for Health (HRH) Crisis in Nepal through Informed Policy Decisions and Actions (CTR 230024),2011-01-01T00:00:00,European Union,Health,Implementation,2010,2013,1093927,901159
138,"Human Resource for Health mainstreamed in health system, through strengthened advocacy capacity of CSOs (CTR 230000)",2011-02-07T00:00:00,European Union,Health,Implementation,2010,2012,1669046,1020711
139,Education for vulnerable and marginalized children in Nepal (CTR 216571),2010-03-01T00:00:00,European Union,"Education, level unspecified",Implementation,2010,2013,695436,654004
140,Access to education for vulnerable and marginalized groups in Karnali (CTR 216469),2010-01-01T00:00:00,European Union,"Education, level unspecified",Implementation,2009,2013,889654,335360
141,Enhancing the Capacity of School Aiming to Provide Quality Educational Opportunities for All: Special Focus on Poor and Marginalised Communities in Western Terai Districts (CTR 216441),2010-01-01T00:00:00,European Union,"Education, level unspecified",Implementation,2009,2013,1037929,365397
142,Promoting quality and inclusive education for out of reach children in Nepal,2010-03-01T00:00:00,European Union,"Education, level unspecified",Implementation,2010,2012,973610,510778
143,Nepal District Health Programme,,Kreditanstalt fÃ¼r Wiederaufbau,Health,Implementation,2008,2012,5370849,3151744
144,Strengthening participation of CSOs to improve economic and public finance governance in Nepal,,European Union,General budget support,Implementation,2011,2012,552105,340462
145,Protecting and mainstreaming informal sector safety nets (PROMISE) - CTR 236676,2011-03-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2011,2013,1932366,1197880
146,Action for sustainable employment through skill enhancement (CTR 250679),2011-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2013,546963,257479
147,Raising opportunities for rural incomes,2011-01-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2010,2011,683704,235294
148,Alleviate unemployment by upgrading skills (CTR 251023),2011-05-09T00:00:00,European Union,"Education, level unspecified",Implementation,2011,2013,719321,410782
149,Support to Stability and Peace building,2011-07-15T00:00:00,European Union,"Conflict prevention and resolution, peace and security",Implementation,2011,2013,-,7590895
150,Enhancement of sustainable production of lokta handmade paper in Nepal (CTR 152937),2008-12-15T00:00:00,European Union,Industry,Suspended,2008,2011,1827854,497277
151,Establishment of a business service centre for women's micro and small enterprises in Nepal (CTR 133415),2007-12-19T00:00:00,European Union,Other social infrastructure and services,Completion,2007,2013,759836,691452
152,Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA / Save the Children,2008-11-01T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2008,2011,6667549,4481492
153,Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLWHA / Family Planning Association,2008-11-16T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2008,2013,6646542,6467304
154,Scaling up coverage and quality of HIV AIDS prevention targeted to most at risk populations and treatment care and support services to PLHA,2011-07-01T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2011,2011,2229104,241388
155,Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal / PSI,2008-09-16T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2007,2010,7496493,6674569
156,Scaling up coverage and quality of malaria prevention and control in targeted high risk districts in Nepal (2008-2013),2008-09-16T00:00:00,"Global Fund to Fight AIDS, Tuberculosis and Malaria",Health,Implementation,2008,2010,2194048,1717682
157,Conservation and sustainable Use of Wetlands in Nepal (CSUWN ),2008-03-14T00:00:00,Global Environment Facility|United Nations Development Programme,Forestry,Completion,2007,2012,518737,1549292
158,Micro-Enterprise Development Programme (MEDEP) III,,Canadian International Development Agency|Himal Power Ltd|AusAid,Industry,Completion,2008,2013,7924791,12665746
159,Hill Maize Research Project (HMRP) - Phase IV,2011-01-31T00:00:00,U.S. Agency for International Development|Swiss Agency for Development and Cooperation,Agriculture,Implementation,2010,2013,3636000,2713852
160,District Roads Support Program (DRSP) Phase IV,2010-07-17T00:00:00,Swiss Agency for Development and Cooperation,Other|Transport and storage,Implementation,2010,2013,23686406,22593060
161,Social Safety Nets Project,2009-02-02T00:00:00,International Development Association|World Bank Trust Funds,Agriculture|Other,Implementation,2008,2013,70633930,51458241
162,Power Development Project,2004-03-25T00:00:00,International Development Association,Energy generation and supply,Implementation,2003,2012,189489765,113100646
163,Urban governance and Development Program:Emerging Town Project,2011-10-02T00:00:00,International Development Association,Other,Implementation,2011,2013,24501772,10226259
164,Kabeli Transmission Project,2011-09-21T00:00:00,International Development Association,Energy generation and supply,Implementation,2011,2013,36752658,5790805
165,Nepal - India Electricity Transmission and Trade Project,2011-09-29T00:00:00,International Development Association,Energy generation and supply,Pipeline/identification,2011,2011,97241407,-
166,Enhanced Vocational Education and Training Project (EVENT),2011-08-23T00:00:00,World Bank Trust Funds,"Education, level unspecified",Implementation,2011,2012,50000000,5968627
167,REDD-Forestry and Climate Change,2011-08-26T00:00:00,World Bank Trust Funds,Forestry,Implementation,2009,2012,3406992,1030192
168,Second Higher Education Project (including JSDF Secondary School Stipend project),2007-07-27T00:00:00,International Development Association|World Bank Trust Funds,"Education, level unspecified",Implementation,2007,2013,32767745,49388715
169,Sapta Kosi High Dam Multi-Purpose Project,2004-06-21T00:00:00,India,Energy generation and supply,Suspended,2004,2004,7551029,-
170,SASEC Information Highway Project,2009-07-02T00:00:00,Asian Development Bank,Communications,Implementation,2009,2013,9314682,622480
171,Air Transport Capacity Enhancement Project,,Asian Development Bank,Transport and storage,Implementation,2010,2013,76728588,9727287
172,Emergency Flood Damage Rehabilitation Project,2009-11-01T00:00:00,Asian Development Bank,Agriculture|Transport and storage|Agriculture,Implementation,2009,2013,26495097,18553248
173,"Sustainable Soil Management Program(SSMP), Phase IV",2011-01-31T00:00:00,Swiss Agency for Development and Cooperation,Agriculture,Implementation,2010,2013,7235142,4549128
174,Avian Influenza Control Project (Human Health Component),2007-03-27T00:00:00,International Development Association,Health,Completion,2007,2012,7985140,8048853
175,Raising Incomes of Small and Medium Farmers Project (RISMFP) - Crops Diversification,,Asian Development Bank,Agriculture,Implementation,2010,2013,20528483,2523372
176,Project for the development of Community Based Health Insurance (CBHI) in Nepal,2010-11-04T00:00:00,Korea International Cooperation Agency,Health,Completion,2010,2013,1051020,1019446
177,Road Connectivity Sector I Project,2006-11-20T00:00:00,OPEC Fund for Inernational Development|Asian Development Bank,Transport and storage,Implementation,2006,2013,71067082,58099777
178,Rahughat Hydropower Project,,India,Energy generation and supply,Implementation,2007,2013,101509624,5011241
179,Bharatpur-Madi 33kv Sub Transmission Line & Rural Electrification Project,,India|DRF UK,Energy generation and supply,Implementation,2007,2007,1600710,-
